name,publisher,number_of_page,current_price,original_price,quantity,score,subject,grade,link,image
Özcan Aykın 55 Günde TYT Fizik Kampı Video Ders Takip Kitabı 2024,Parlayan Projeler,264,199.9,199.9,20,3.1,fizik,tyt,https://www.kitapisler.com/ozcan-aykin-55-gunde-tyt-fizik-kampi-video-ders-takip-kitabi-2024_91405.html,https://www.kitapisler.com/images_buyuk/f5/ozcan-aykin-55-gunde-tyt-fizik-k_OTE0MDU1ODQw_1.jpg
Metin Yayınları AYT Sayısal 3 Deneme,Metin Yayınları,-1,59.42,69.9,1,0.0,sayısal,ayt,https://www.kitapisler.com/metin-yayinlari-ayt-sayisal-3-deneme_91404.html,https://www.kitapisler.com/images_buyuk/f4/metin-yayinlari-ayt-sayisal-3-de_OTE0MDQ0MzEy_1.jpg
Metin Yayınları TYT Matematik 8 Deneme,Metin Yayınları,-1,84.92,99.9,1,0.0,matematik,tyt,https://www.kitapisler.com/metin-yayinlari-tyt-matematik-8-deneme_91403.html,https://www.kitapisler.com/images_buyuk/f3/metin-yayinlari-tyt-matematik-8-_OTE0MDM0MTAw_1.jpg
Metin Yayınları AYT Matematik 5 Deneme,Metin Yayınları,-1,67.92,79.9,0,0.0,matematik,ayt,https://www.kitapisler.com/metin-yayinlari-ayt-matematik-5-deneme_91402.html,https://www.kitapisler.com/images_buyuk/f2/metin-yayinlari-ayt-matematik-5-_OTE0MDIzODM5_1.jpg
Metin Yayınları TYT Türkçe 10 Deneme Sınavı,Metin Yayınları,-1,84.92,99.9,1,0.0,türkçe,tyt,https://www.kitapisler.com/metin-yayinlari-tyt-turkce-10-deneme-sinavi_91401.html,https://www.kitapisler.com/images_buyuk/f1/metin-yayinlari-tyt-turkce-10-de_OTE0MDEzNDE3_1.jpg
Metin Yayınları TYT Fen Bilimleri 10 Deneme Sınavı,Metin Yayınları,-1,67.15,79.0,0,0.0,fen,tyt,https://www.kitapisler.com/metin-yayinlari-tyt-fen-bilimleri-10-deneme-sinavi_91400.html,https://www.kitapisler.com/images_buyuk/f0/metin-yayinlari-tyt-fen-bilimler_OTE0MDAzMTE3_1.jpg
Benim Hocam 2024 AYT Kimya Ders Notları,Benim Hocam Yayınları,272,150.0,200.0,12,0.0,kimya,ayt,https://www.kitapisler.com/benim-hocam-2024-ayt-kimya-ders-notlari_91377.html,https://www.kitapisler.com/images_buyuk/f77/benim-hocam-2024-ayt-kimya-ders-_OTEzNzcwNDM4_1.jpg
KR Akademi Barış Hoca TYT Dr. Biyoloji Soru Bankası,KR Akademi,256,129.9,129.9,34,2.9,biyoloji,tyt,https://www.kitapisler.com/kr-akademi-baris-hoca-tyt-dr-biyoloji-soru-bankasi_91375.html,https://www.kitapisler.com/images_buyuk/f75/kr-akademi-baris-hoca-tyt-dr-biy_OTEzNzUwMzQ4_1.jpg
Metin Yayınları Par Kur Matematik Kitabı,Metin Yayınları,360,229.42,269.9,0,5.0,matematik,lise,https://www.kitapisler.com/metin-yayinlari-par-kur-matematik-kitabi_91367.html,https://www.kitapisler.com/images_buyuk/f67/metin-yayinlari-par-kur-matemati_OTEzNjcwNzMz_1.jpg
Metin Yayınları AYT Matematik Soru Bankası,Metin Yayınları,328,220.92,259.9,1,0.0,matematik,ayt,https://www.kitapisler.com/metin-yayinlari-ayt-matematik-soru-bankasi_91365.html,https://www.kitapisler.com/images_buyuk/f65/metin-yayinlari-ayt-matematik-so_OTEzNjU1OTU2_1.jpg
