name,publisher,number_of_page,current_price,original_price,quantity,score,subject,grade,link
AYT Organik Kimya Pro Soru Bankası Yayın Denizi,Yayın Denizi Yayınları,160,84.15,99.0,12,5.0,kimya,ayt,https://www.kitapsec.com/Products/AYT-Organik-Kimya-Pro-Soru-Bankasi-Yayin-Denizi-650734.html
TYT 5 Deneme Çözümlü Karekök Yayınları,Karekök Yayınları,-1,96.9,149.0,-1,0.0,genel,tyt,https://www.kitapsec.com/Products/TYT-5-Deneme-Cozumlu-Karekok-Yayinlari-825843.html
TYT Kampı 350 Soruda Geometri Soru Bankası Kurul Yayıncılık,Kurul Yayıncılık,64,20.5,29.0,1274,4.3,matematik,tyt,https://www.kitapsec.com/Products/TYT-Kampi-350-Soruda-Geometri-Soru-Bankasi-Kurul-Yayincilik-433867.html
TYT Tarih Pro Soru Bankası Yayın Denizi,Yayın Denizi Yayınları,208,106.25,125.0,97,5.0,tarih,tyt,https://www.kitapsec.com/Products/TYT-Tarih-Pro-Soru-Bankasi-Yayin-Denizi-775207.html
TYT Türkçe 10 lu 40 da 40 Deneme Kampı Hale Hoca Yayınları,Hale Hoca Yayınları,128,49.0,49.0,38,4.0,türkçe,tyt,https://www.kitapsec.com/Products/TYT-Turkce-10-lu-40-da-40-Deneme-Kampi-Hale-Hoca-Yayinlari-737341.html
İlk 5000 Türkçe Soru Bankası Feybe Yayınları,Feybe Yayınları,208,84.0,120.0,15,5.0,türkçe,lise,https://www.kitapsec.com/Products/Ilk-5000-Turkce-Soru-Bankasi-Feybe-Yayinlari-551374.html
Üniversiteye Hazırlık MSÜ Tıpkı Basım  Çap Yayınları,Çap Yayınları,43,24.65,29.0,21,4.0,genel,lise,https://www.kitapsec.com/Products/Universiteye-Hazirlik-MSU-Tipki-Basim-Cap-Yayinlari-782384.html
%100 Kazandıran Hızlandırılmış TYT Hazırlık Seti,Enine Boyuna Eğitim,-1,3999.0,4999.0,-1,0.0,genel,tyt,https://www.kitapsec.com/Products/100-Kazandiran-Hizlandirilmis-TYT-Hazirlik-Seti-818425.html
%100 Yeni Nesil Türkçe Soru Bankası Fragman Yayınları,Fragman Yayınları,120,65.0,65.0,834,4.2,türkçe,lise,https://www.kitapsec.com/Products/100-Yeni-Nesil-Turkce-Soru-Bankasi-Fragman-Yayinlari-537463.html
%100 Yeni Nesil TYT Problemler Soru Bankası Fragman Yayınları,Fragman Yayınları,128,99.0,99.0,13339,4.4,matematik,tyt,https://www.kitapsec.com/Products/100-Yeni-Nesil-TYT-Problemler-Soru-Bankasi-Fragman-Yayinlari-397751.html
%100 Yeni Nesil TYT Problemler Soru Bankası Fragman Yayınları,Fragman Yayınları,128,83.78,83.78,8,4.0,matematik,tyt,https://www.kitapsec.com/Products/100-Yeni-Nesil-TYT-Problemler-Soru-Bankasi-Fragman-Yayinlari-691918.html
0 dan 100 e Taktiklerle Dil Bilgisi Soruları Altın Anahtar Yayınları,Altın Anahtar,296,146.25,225.0,892,4.5,türkçe,tyt,https://www.kitapsec.com/Products/0-dan-100-e-Taktiklerle-Dil-Bilgisi-Sorulari-Altin-Anahtar-Yayinlari-321117.html
0`dan Problemler Rehber Matematik Tonguç Akademi,Rehber Matematik,120,179.0,179.0,12,5.0,matematik,tyt,https://www.kitapsec.com/Products/0dan-Problemler-Rehber-Matematik-Tonguc-Akademi-817315.html
0`dan Problemler Rehber Matematik Tonguç Akademi,Rehber Matematik,120,179.0,179.0,1,4.0,matematik,tyt,https://www.kitapsec.com/Products/0dan-Problemler-Rehber-Matematik-Tonguc-Akademi-829181.html
0`dan Problemler Rehber Matematik Tonguç Akademi,Rehber Matematik,120,189.9,189.9,3,4.0,matematik,tyt,https://www.kitapsec.com/Products/0dan-Problemler-Rehber-Matematik-Tonguc-Akademi-804622.html
10 Lu TYT Matematik Denemesi Tsunami Yayınları,tsunami Yayınları,128,52.08,59.0,1,4.0,matematik,tyt,https://www.kitapsec.com/Products/10-Lu-TYT-Matematik-Denemesi-Tsunami-Yayinlari-771733.html
10 Lu TYT Türkçe Denemesi Tsunami Yayınları,tsunami Yayınları,128,44.25,59.0,27,5.0,türkçe,tyt,https://www.kitapsec.com/Products/10-Lu-TYT-Turkce-Denemesi-Tsunami-Yayinlari-571449.html
10. Sınıf Öğreten Master Matematik Seti ve Soru Bankası Gür Yayınları Kalemlik HEDİYELİ,Gür Yayınları,-1,408.89,500.0,-1,0.0,matematik,10.,https://www.kitapsec.com/Products/10-Sinif-Ogreten-Master-Matematik-Seti-ve-Soru-Bankasi-Gur-Yayinlari-Kalemlik-HEDIYELI-669576.html
100 ÖSYM Soru Tipleriyle Paragraf Fides Yayınları,Fides Yayınları,352,162.0,180.0,1,4.0,türkçe,tyt,https://www.kitapsec.com/Products/100-OSYM-Soru-Tipleriyle-Paragraf-Fides-Yayinlari-705173.html
11. Sınıf YKSDİL Kelime Kitabı (Efa Serisi) Benim Hocam Yayınları,Benim Hocam Yayınları,336,30.25,43.2,31,4.0,genel,11.,https://www.kitapsec.com/Products/11-Sinif-YKSDIL-Kelime-Kitabi-Efa-Serisi-Benim-Hocam-Yayinlari-324308.html
12. SINIF TYT  20`Lİ DENEME SETİ  Bilfen Yayıncılık,Bilfen Yayıncılık,-1,300.0,345.0,-1,0.0,fen,12.,https://www.kitapsec.com/Products/12-SINIF-TYT-20LI-DENEME-SETI-Bilfen-Yayincilik-832248.html
12. Sınıf AYT Matematik Soru Bankası BYS Kafası,BYS Kafası Yayınları,160,162.0,216.0,18,4.0,matematik,12.,https://www.kitapsec.com/Products/12-Sinif-AYT-Matematik-Soru-Bankasi-BYS-Kafasi-555432.html
12. Sınıf Fen Lisesi Biyoloji Seti Çap Yayınları,Çap Yayınları,-1,174.25,205.0,8,4.0,biyoloji,12.,https://www.kitapsec.com/Products/12-Sinif-Fen-Lisesi-Biyoloji-Seti-Cap-Yayinlari-766375.html
12. Sınıf Matematik Logaritma Diziler Sonuç Yayınları,Sonuç Yayınları,152,64.4,92.0,1369,4.4,matematik,12.,https://www.kitapsec.com/Products/12-Sinif-Matematik-Logaritma-Diziler-Sonuc-Yayinlari-376840.html
12.Sınıf AYT Biyoloji Soru Bankası Kitabı Simya Dergisi Yayınları,Simya Dergisi Yayınları,240,90.75,121.0,7,4.0,biyoloji,12.,https://www.kitapsec.com/Products/12Sinif-AYT-Biyoloji-Soru-Bankasi-Kitabi-Simya-Dergisi-Yayinlari-555149.html
12.Sınıf AYT Fizik Soru Bankası Kitabı Simya Dergisi Yayınları,Simya Dergisi Yayınları,304,99.75,133.0,2,4.0,fizik,12.,https://www.kitapsec.com/Products/12Sinif-AYT-Fizik-Soru-Bankasi-Kitabi-Simya-Dergisi-Yayinlari-555144.html
12.Sınıf AYT Kimya Konu Anlatımlı Kitabı Simya Dergisi Yayınları,Simya Dergisi Yayınları,304,99.75,133.0,1,2.0,kimya,12.,https://www.kitapsec.com/Products/12Sinif-AYT-Kimya-Konu-Anlatimli-Kitabi-Simya-Dergisi-Yayinlari-555128.html
12.Sınıf Matematik Seti Sonuç Yayınları,Sonuç Yayınları,-1,181.3,259.0,111,5.0,matematik,12.,https://www.kitapsec.com/Products/12Sinif-Matematik-Seti-Sonuc-Yayinlari-766328.html
12.Sınıf Matematik Seti Sonuç Yayınları,Sonuç Yayınları,-1,140.0,210.0,-1,0.0,matematik,12.,https://www.kitapsec.com/Products/12Sinif-Matematik-Seti-Sonuc-Yayinlari-828636.html
12.Sınıf Matematik Seti Sonuç Yayınları,Sonuç Yayınları,-1,140.0,210.0,-1,0.0,matematik,12.,https://www.kitapsec.com/Products/12Sinif-Matematik-Seti-Sonuc-Yayinlari-833078.html
12.Sınıf TYT Biyoloji Soru Bankası Kitabı Simya Dergisi Yayınları,Simya Dergisi Yayınları,160,63.0,84.0,12,5.0,biyoloji,12.,https://www.kitapsec.com/Products/12Sinif-TYT-Biyoloji-Soru-Bankasi-Kitabi-Simya-Dergisi-Yayinlari-555148.html
12.Sınıf TYT Felsefe Konu Özetli Soru Bankası Simya Dergisi Yayınları,Simya Dergisi Yayınları,160,64.5,86.0,4,4.0,felsefe,12.,https://www.kitapsec.com/Products/12Sinif-TYT-Felsefe-Konu-Ozetli-Soru-Bankasi-Simya-Dergisi-Yayinlari-555134.html
12.Sınıf TYT Kimya Soru Bankası Kitabı BYS Kafası Yayınları,BYS Kafası Yayınları,160,122.25,163.0,8,4.0,kimya,12.,https://www.kitapsec.com/Products/12Sinif-TYT-Kimya-Soru-Bankasi-Kitabi-BYS-Kafasi-Yayinlari-555486.html
